token,true_tag,pred_tag,error_type
kebanyakan,I-PROMOTION,O,Entity vs O Error
staff,I-PROMOTION,O,Entity vs O Error
nya,I-PROMOTION,O,Entity vs O Error
UNK,I-PROMOTION,O,Entity vs O Error
ada,B-PLACE,O,Entity vs O Error
musholla,I-PLACE,O,Entity vs O Error
dan,I-PLACE,O,Entity vs O Error
7,O,I-PLACE,Entity vs O Error
kalo,B-PRODUCT,I-PLACE,Label Error
UNK,I-PRODUCT,I-PLACE,Label Error
it,I-PRODUCT,B-PRODUCT,Boundary Error
.,O,I-PRODUCT,Entity vs O Error
Es,B-PRODUCT,I-PRODUCT,Boundary Error
menu,I-PRODUCT,B-PRODUCT,Boundary Error
Udah,B-PRODUCT,O,Entity vs O Error
dua,I-PRODUCT,O,Entity vs O Error
di,I-PRODUCT,O,Entity vs O Error
.,I-PRODUCT,O,Entity vs O Error
Baksonya,I-PRODUCT,B-PRODUCT,Boundary Error
😭,I-PRODUCT,O,Entity vs O Error
😭,I-PRODUCT,O,Entity vs O Error
😭,I-PRODUCT,O,Entity vs O Error
enak,B-PRODUCT,I-PRODUCT,Boundary Error
Makanan,B-PRODUCT,O,Entity vs O Error
harga,B-PRICE,I-PRICE,Boundary Error
kuah,B-PRODUCT,I-PRODUCT,Boundary Error
..,O,I-PRODUCT,Entity vs O Error
🏼,I-PLACE,I-PRODUCT,Label Error
bakso,I-PRICE,B-PRODUCT,Label Error
ya,I-PRICE,O,Entity vs O Error
",",I-PRICE,O,Entity vs O Error
rate,I-PRICE,O,Entity vs O Error
50,I-PRICE,O,Entity vs O Error
rb,I-PRICE,B-PRODUCT,Label Error
ke,I-PRICE,O,Entity vs O Error
ataas,I-PRICE,I-PLACE,Label Error
Yg,O,I-PLACE,Entity vs O Error
beli,O,I-PLACE,Entity vs O Error
juga,O,I-PLACE,Entity vs O Error
banyak,O,I-PLACE,Entity vs O Error
pada,O,I-PLACE,Entity vs O Error
pake,O,I-PLACE,Entity vs O Error
mobil,O,I-PLACE,Entity vs O Error
",",O,I-PLACE,Entity vs O Error
tp,B-PLACE,I-PLACE,Boundary Error
TOILET,B-PLACE,I-PLACE,Boundary Error
.,I-PLACE,O,Entity vs O Error
Bakso,B-PRODUCT,I-PRODUCT,Boundary Error
Dan,O,I-PRODUCT,Entity vs O Error
banyak,B-PRODUCT,I-PRODUCT,Boundary Error
dari,O,I-PRODUCT,Entity vs O Error
yg,B-PRICE,I-PRODUCT,Label Error
mahal,I-PRICE,I-PRODUCT,Label Error
sampe,I-PRICE,I-PRODUCT,Label Error
mahal,I-PRICE,I-PRODUCT,Label Error
bgt,I-PRICE,I-PRODUCT,Label Error
.,I-PRICE,O,Entity vs O Error
Tp,B-PLACE,O,Entity vs O Error
Semua,O,B-PRODUCT,Entity vs O Error
oke,O,I-PRODUCT,Entity vs O Error
👌,O,I-PRODUCT,Entity vs O Error
cuman,O,I-PLACE,Entity vs O Error
ga,O,I-PLACE,Entity vs O Error
paham,O,I-PLACE,Entity vs O Error
ini,O,I-PLACE,Entity vs O Error
musholanya,O,I-PLACE,Entity vs O Error
apa,O,I-PLACE,Entity vs O Error
plus,O,I-PLACE,Entity vs O Error
tempat,O,I-PLACE,Entity vs O Error
makan,O,I-PLACE,Entity vs O Error
dan,O,I-PLACE,Entity vs O Error
ngasonya,O,I-PLACE,Entity vs O Error
pegawai,O,I-PLACE,Entity vs O Error
dan,O,I-PRODUCT,Entity vs O Error
murah,B-PRICE,I-PRODUCT,Label Error
lagi,I-PRICE,I-PRODUCT,Label Error
Penggemar,O,B-PRODUCT,Entity vs O Error
baso,O,I-PRODUCT,Entity vs O Error
musti,O,I-PRODUCT,Entity vs O Error
ke,O,I-PRODUCT,Entity vs O Error
sini,O,I-PRODUCT,Entity vs O Error
deh,O,I-PRODUCT,Entity vs O Error
Selain,B-PRODUCT,I-PRODUCT,Boundary Error
",",I-PRODUCT,O,Entity vs O Error
.,I-PRODUCT,O,Entity vs O Error
.,B-PLACE,O,Entity vs O Error
Tempatnya,I-PLACE,B-PLACE,Boundary Error
.,O,I-PLACE,Entity vs O Error
Rame,B-PLACE,I-PLACE,Boundary Error
kalau,I-PLACE,O,Entity vs O Error
jam,I-PLACE,O,Entity vs O Error
maksi,I-PLACE,O,Entity vs O Error
pelayanannya,B-PROMOTION,O,Entity vs O Error
juga,I-PROMOTION,O,Entity vs O Error
rapi,I-PROMOTION,O,Entity vs O Error
dan,I-PROMOTION,O,Entity vs O Error
bersih,I-PROMOTION,I-PLACE,Label Error
",",I-PROMOTION,O,Entity vs O Error
tidak,I-PROMOTION,O,Entity vs O Error
cepat,I-PROMOTION,O,Entity vs O Error
banget,I-PROMOTION,O,Entity vs O Error
sih,I-PROMOTION,O,Entity vs O Error
",",I-PROMOTION,O,Entity vs O Error
karena,I-PROMOTION,O,Entity vs O Error
memang,I-PROMOTION,O,Entity vs O Error
rame,I-PROMOTION,O,Entity vs O Error
Harganya,B-PRICE,I-PROMOTION,Label Error
masuk,I-PRICE,O,Entity vs O Error
akal,I-PRICE,I-PROMOTION,Label Error
enak,B-PRODUCT,I-PRODUCT,Boundary Error
langganan,B-PROMOTION,O,Entity vs O Error
tiap,I-PROMOTION,I-PRODUCT,Label Error
hari,I-PROMOTION,O,Entity vs O Error
baksonya,I-PRODUCT,B-PRODUCT,Boundary Error
dan,O,I-PRODUCT,Entity vs O Error
mantapp,O,I-PRODUCT,Entity vs O Error
Baksonya,I-PRODUCT,B-PRODUCT,Boundary Error
.,I-PRODUCT,O,Entity vs O Error
harga,B-PRICE,I-PLACE,Label Error
masih,I-PRICE,I-PLACE,Label Error
.,I-PRICE,I-PLACE,Label Error
Recommended,O,I-PLACE,Entity vs O Error
buat,O,I-PLACE,Entity vs O Error
!,O,I-PROMOTION,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
semua,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
bersih,B-PLACE,I-PRODUCT,Label Error
enak2,B-PRODUCT,I-PRODUCT,Boundary Error
pelayanan,B-PROMOTION,O,Entity vs O Error
ramahh,I-PROMOTION,O,Entity vs O Error
Mantappp,B-PRODUCT,O,Entity vs O Error
di,O,I-PRODUCT,Entity vs O Error
kuah,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
kalau,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
pokoknya,B-PRODUCT,I-PRODUCT,Boundary Error
pertama,O,I-PRODUCT,Entity vs O Error
kali,O,I-PRODUCT,Entity vs O Error
makan,O,I-PRODUCT,Entity vs O Error
disini,O,I-PRODUCT,Entity vs O Error
pesen,O,I-PRODUCT,Entity vs O Error
menu,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
bakso,B-PRODUCT,I-PRODUCT,Boundary Error
",",B-PRODUCT,I-PRODUCT,Boundary Error
biasanya,O,I-PRODUCT,Entity vs O Error
pas,O,I-PRODUCT,Entity vs O Error
dibuka,O,I-PRODUCT,Entity vs O Error
isinya,O,I-PRODUCT,Entity vs O Error
sambal,O,I-PRODUCT,Entity vs O Error
..,O,I-PRODUCT,Entity vs O Error
kalo,O,I-PRODUCT,Entity vs O Error
yg,O,I-PRODUCT,Entity vs O Error
ini,O,I-PRODUCT,Entity vs O Error
memang,B-PRODUCT,I-PRODUCT,Boundary Error
.,O,I-PRODUCT,Entity vs O Error
mantapp,B-PRODUCT,I-PRODUCT,Boundary Error
tapi,O,I-PRODUCT,Entity vs O Error
jg,O,I-PRODUCT,Entity vs O Error
ngga,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
untuk,B-PRODUCT,I-PRODUCT,Boundary Error
jam,I-PRODUCT,O,Entity vs O Error
blm,B-PRODUCT,I-PRODUCT,Boundary Error
tp,O,I-PRODUCT,Entity vs O Error
ini,O,I-PRODUCT,Entity vs O Error
aja,O,I-PRODUCT,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
apalagi,B-PRODUCT,I-PRODUCT,Boundary Error
Tempat,B-PLACE,B-PRODUCT,Label Error
bakso,I-PLACE,B-PRODUCT,Label Error
rekomended,I-PLACE,I-PRODUCT,Label Error
..,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
tempat,B-PLACE,I-PLACE,Boundary Error
🤩,I-PLACE,I-PRODUCT,Label Error
Cita,B-PRODUCT,O,Entity vs O Error
bakso,I-PRODUCT,O,Entity vs O Error
berbeda,I-PRODUCT,O,Entity vs O Error
dengan,I-PRODUCT,O,Entity vs O Error
yang,I-PRODUCT,O,Entity vs O Error
lain,I-PRODUCT,O,Entity vs O Error
Bintang,B-PRODUCT,O,Entity vs O Error
5,I-PRODUCT,O,Entity vs O Error
buat,I-PRODUCT,O,Entity vs O Error
bakso,I-PRODUCT,O,Entity vs O Error
pajero,I-PRODUCT,O,Entity vs O Error
sini,I-PRODUCT,O,Entity vs O Error
..,I-PRODUCT,O,Entity vs O Error
dan,O,I-PRODUCT,Entity vs O Error
Rekomend,B-PRODUCT,I-PRODUCT,Boundary Error
tempat,B-PLACE,I-PLACE,Boundary Error
bakso,B-PRODUCT,I-PRODUCT,Boundary Error
Bismillahirohmanirohim,O,B-PRODUCT,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
pas,B-PRODUCT,I-PRODUCT,Boundary Error
ketinggian,I-PRODUCT,O,Entity vs O Error
",",I-PRODUCT,O,Entity vs O Error
nunggu,I-PRODUCT,O,Entity vs O Error
bakso,I-PRODUCT,O,Entity vs O Error
bakarnya,I-PRODUCT,O,Entity vs O Error
 ,I-PRODUCT,O,Entity vs O Error
datang,I-PRODUCT,O,Entity vs O Error
40,I-PRODUCT,O,Entity vs O Error
menit,I-PRODUCT,O,Entity vs O Error
harus,B-PROMOTION,O,Entity vs O Error
ditanyain,I-PROMOTION,O,Entity vs O Error
ke,I-PROMOTION,O,Entity vs O Error
bagian,I-PROMOTION,O,Entity vs O Error
pemesanan,I-PROMOTION,O,Entity vs O Error
",",I-PROMOTION,O,Entity vs O Error
terus,I-PROMOTION,O,Entity vs O Error
disuruh,I-PROMOTION,O,Entity vs O Error
nunggu,I-PROMOTION,O,Entity vs O Error
lagi,I-PROMOTION,O,Entity vs O Error
5,I-PROMOTION,O,Entity vs O Error
menit,I-PROMOTION,O,Entity vs O Error
",",I-PROMOTION,O,Entity vs O Error
pas,B-PRODUCT,O,Entity vs O Error
dateng,I-PRODUCT,O,Entity vs O Error
bakso,I-PRODUCT,O,Entity vs O Error
bakarnya,I-PRODUCT,O,Entity vs O Error
gak,I-PRODUCT,O,Entity vs O Error
panas,I-PRODUCT,O,Entity vs O Error
",",I-PRODUCT,O,Entity vs O Error
harus,I-PRODUCT,O,Entity vs O Error
minta,I-PRODUCT,O,Entity vs O Error
diangetin,I-PRODUCT,O,Entity vs O Error
",",I-PRODUCT,O,Entity vs O Error
ternyata,I-PRODUCT,O,Entity vs O Error
datengnya,I-PRODUCT,O,Entity vs O Error
doang,I-PRODUCT,O,Entity vs O Error
rasa,B-PRODUCT,I-PRODUCT,Boundary Error
standard,I-PRODUCT,O,Entity vs O Error
.,I-PRODUCT,O,Entity vs O Error
selalu,O,I-PRODUCT,Entity vs O Error
bakso,B-PRODUCT,I-PRODUCT,Boundary Error
buat,I-PRODUCT,O,Entity vs O Error
dateng,I-PRODUCT,O,Entity vs O Error
kesini,I-PRODUCT,O,Entity vs O Error
tapi,O,I-PRODUCT,Entity vs O Error
rasa,I-PRODUCT,B-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
namun,B-PLACE,I-PRODUCT,Label Error
perlu,I-PLACE,I-PRODUCT,Label Error
diperhatikan,I-PLACE,I-PRODUCT,Label Error
lagi,I-PLACE,O,Entity vs O Error
untuk,B-PRICE,I-PRICE,Boundary Error
karna,I-PRICE,I-PLACE,Label Error
porsi,I-PRICE,B-PRODUCT,Label Error
nya,I-PRICE,O,Entity vs O Error
juga,I-PRICE,O,Entity vs O Error
biasa,I-PRICE,O,Entity vs O Error
saja,I-PRICE,O,Entity vs O Error
..,I-PRODUCT,O,Entity vs O Error
.,I-PRODUCT,O,Entity vs O Error
Sy,I-PRODUCT,O,Entity vs O Error
memesan,I-PRODUCT,O,Entity vs O Error
bakso,I-PRODUCT,O,Entity vs O Error
iga,I-PRODUCT,O,Entity vs O Error
",",I-PRODUCT,O,Entity vs O Error
sengaja,I-PRODUCT,O,Entity vs O Error
karena,I-PRODUCT,O,Entity vs O Error
mau,I-PRODUCT,O,Entity vs O Error
mencoba,I-PRODUCT,O,Entity vs O Error
iga,I-PRODUCT,O,Entity vs O Error
nya,I-PRODUCT,O,Entity vs O Error
&,I-PRODUCT,O,Entity vs O Error
baso,I-PRODUCT,O,Entity vs O Error
.,I-PRODUCT,O,Entity vs O Error
Bakso,I-PRODUCT,B-PRODUCT,Boundary Error
.,I-PRODUCT,O,Entity vs O Error
Orderan,B-PROMOTION,O,Entity vs O Error
yg,I-PROMOTION,O,Entity vs O Error
sumsum,I-PROMOTION,O,Entity vs O Error
bakar,I-PROMOTION,O,Entity vs O Error
nunggu,I-PROMOTION,O,Entity vs O Error
sampai,I-PROMOTION,O,Entity vs O Error
45,I-PROMOTION,O,Entity vs O Error
menit,I-PROMOTION,O,Entity vs O Error
",",I-PROMOTION,O,Entity vs O Error
seharusnya,I-PROMOTION,O,Entity vs O Error
di,I-PROMOTION,O,Entity vs O Error
kasih,I-PROMOTION,O,Entity vs O Error
tau,I-PROMOTION,O,Entity vs O Error
diawal,I-PROMOTION,O,Entity vs O Error
sama,I-PROMOTION,O,Entity vs O Error
kasir,I-PROMOTION,O,Entity vs O Error
biar,I-PROMOTION,O,Entity vs O Error
bisa,I-PROMOTION,O,Entity vs O Error
espek,I-PROMOTION,O,Entity vs O Error
nunggu,I-PROMOTION,O,Entity vs O Error
lama,I-PROMOTION,O,Entity vs O Error
",",I-PROMOTION,O,Entity vs O Error
enak,B-PRODUCT,I-PRODUCT,Boundary Error
😅,I-PRODUCT,O,Entity vs O Error
Review,B-PRODUCT,O,Entity vs O Error
jujur,I-PRODUCT,O,Entity vs O Error
Pertama,I-PRODUCT,O,Entity vs O Error
kali,I-PRODUCT,O,Entity vs O Error
pesan,I-PRODUCT,O,Entity vs O Error
UNK,I-PRODUCT,B-PRODUCT,Boundary Error
Rasanya,I-PRODUCT,B-PRODUCT,Boundary Error
Bakso,I-PRODUCT,B-PRODUCT,Boundary Error
.,I-PRODUCT,O,Entity vs O Error
kasih,I-PRODUCT,O,Entity vs O Error
.,I-PRODUCT,O,Entity vs O Error
Semangat,I-PRODUCT,O,Entity vs O Error
cocok,B-PRODUCT,I-PRODUCT,Boundary Error
nih,I-PRODUCT,O,Entity vs O Error
enak,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
berasa,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
kaldunya,B-PRODUCT,I-PRODUCT,Boundary Error
...,O,I-PRODUCT,Entity vs O Error
the,O,I-PRODUCT,Entity vs O Error
best,O,I-PRODUCT,Entity vs O Error
sih,O,I-PRODUCT,Entity vs O Error
so,O,I-PRODUCT,Entity vs O Error
far,O,I-PRODUCT,Entity vs O Error
buat,O,I-PRODUCT,Entity vs O Error
akunya,O,I-PRODUCT,Entity vs O Error
just,B-PROMOTION,O,Entity vs O Error
info,I-PROMOTION,O,Entity vs O Error
klo,I-PROMOTION,O,Entity vs O Error
hari,I-PROMOTION,O,Entity vs O Error
Jumat,I-PROMOTION,O,Entity vs O Error
mrk,I-PROMOTION,O,Entity vs O Error
tidak,I-PROMOTION,O,Entity vs O Error
melayani,I-PROMOTION,O,Entity vs O Error
pesanan,I-PROMOTION,O,Entity vs O Error
pas,I-PROMOTION,O,Entity vs O Error
jam,I-PROMOTION,O,Entity vs O Error
sholat,I-PROMOTION,O,Entity vs O Error
Jumat,I-PROMOTION,O,Entity vs O Error
..,I-PROMOTION,O,Entity vs O Error
bagus,I-PROMOTION,O,Entity vs O Error
nih,I-PROMOTION,O,Entity vs O Error
",",I-PROMOTION,O,Entity vs O Error
ibadah,I-PROMOTION,O,Entity vs O Error
memang,I-PROMOTION,O,Entity vs O Error
hrs,I-PROMOTION,O,Entity vs O Error
di,I-PROMOTION,O,Entity vs O Error
utamakan,I-PROMOTION,O,Entity vs O Error
1,B-PRODUCT,O,Entity vs O Error
porsi,I-PRODUCT,O,Entity vs O Error
poolll,I-PRODUCT,O,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
ndaging,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
kuahnya,B-PRODUCT,I-PRODUCT,Boundary Error
.,O,I-PRODUCT,Entity vs O Error
banyak,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
harganya,B-PRICE,I-PRICE,Boundary Error
juga,I-PRICE,O,Entity vs O Error
bermacam,I-PRICE,O,Entity vs O Error
macam,I-PRICE,O,Entity vs O Error
rekomendasi,I-PRODUCT,O,Entity vs O Error
dan,I-PRODUCT,O,Entity vs O Error
harganya,I-PRODUCT,I-PRICE,Label Error
affordable,I-PRODUCT,I-PRICE,Label Error
UNK,I-PRODUCT,I-PRICE,Label Error
UNK,I-PRODUCT,I-PRICE,Label Error
UNK,I-PRODUCT,I-PROMOTION,Label Error
Mantappp,B-PRODUCT,I-PRODUCT,Boundary Error
.,O,I-PRODUCT,Entity vs O Error
UNK,B-PRODUCT,I-PRODUCT,Boundary Error
.,I-PRODUCT,O,Entity vs O Error
Wajib,I-PRODUCT,O,Entity vs O Error
coba,I-PRODUCT,O,Entity vs O Error
sih,I-PRODUCT,O,Entity vs O Error
kalau,I-PRODUCT,O,Entity vs O Error
pas,I-PRODUCT,O,Entity vs O Error
UNK,I-PRODUCT,O,Entity vs O Error
kampus,I-PRODUCT,O,Entity vs O Error
UNY,I-PRODUCT,O,Entity vs O Error
.,I-PRODUCT,O,Entity vs O Error
aku,O,I-PRODUCT,Entity vs O Error
UNK,O,I-PRODUCT,Entity vs O Error
bakso,O,I-PRODUCT,Entity vs O Error
Puas,B-PRODUCT,I-PRODUCT,Boundary Error
dan,I-PRODUCT,O,Entity vs O Error
alhamdulillah,I-PRODUCT,O,Entity vs O Error
.,O,I-PLACE,Entity vs O Error
Parkir,B-PLACE,I-PLACE,Boundary Error
.,O,I-PLACE,Entity vs O Error
UNK,O,I-PLACE,Entity vs O Error
jelas,O,I-PLACE,Entity vs O Error
.,O,I-PLACE,Entity vs O Error
selalu,B-PRODUCT,O,Entity vs O Error
repeat,I-PRODUCT,O,Entity vs O Error
order,I-PRODUCT,O,Entity vs O Error
kesini,I-PRODUCT,O,Entity vs O Error
kalo,I-PRODUCT,O,Entity vs O Error
makan,I-PRODUCT,O,Entity vs O Error
10,O,I-PRODUCT,Entity vs O Error
/,O,I-PRODUCT,Entity vs O Error
10,O,I-PRODUCT,Entity vs O Error
buat,O,I-PRODUCT,Entity vs O Error
servicenya,O,I-PRODUCT,Entity vs O Error
menunya,B-PRODUCT,I-PRODUCT,Boundary Error
Uda,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
",",O,I-PLACE,Entity vs O Error
harga,B-PRICE,I-PRICE,Boundary Error
nya,I-PRICE,I-PLACE,Label Error
cocok,I-PRICE,I-PLACE,Label Error
sesuai,I-PRICE,I-PLACE,Label Error
rasa,I-PRICE,B-PRODUCT,Label Error
.,I-PRICE,I-PLACE,Label Error
Mantap,B-PRODUCT,I-PRODUCT,Boundary Error
.,O,I-PRODUCT,Entity vs O Error
Harga,B-PRICE,I-PRICE,Boundary Error
murah,I-PRICE,B-PRODUCT,Label Error
.,I-PRODUCT,O,Entity vs O Error
nyaman,I-PRODUCT,B-PLACE,Label Error
tempatnya,I-PRODUCT,I-PLACE,Label Error
bakso,B-PRODUCT,I-PRODUCT,Boundary Error
bakso,B-PRODUCT,I-PRODUCT,Boundary Error
tambahan,B-PRODUCT,I-PRODUCT,Boundary Error
",",I-PRODUCT,O,Entity vs O Error
rasa,O,B-PRODUCT,Entity vs O Error
Pesen,B-PROMOTION,O,Entity vs O Error
mie,I-PROMOTION,O,Entity vs O Error
ayam,I-PROMOTION,O,Entity vs O Error
original,I-PROMOTION,O,Entity vs O Error
doang,I-PROMOTION,O,Entity vs O Error
padahal,I-PROMOTION,O,Entity vs O Error
1,I-PROMOTION,O,Entity vs O Error
.,I-PROMOTION,O,Entity vs O Error
Suasana,I-PROMOTION,O,Entity vs O Error
warung,I-PROMOTION,O,Entity vs O Error
jg,I-PROMOTION,O,Entity vs O Error
gak,I-PROMOTION,O,Entity vs O Error
terlalu,I-PROMOTION,O,Entity vs O Error
ramai,I-PROMOTION,O,Entity vs O Error
waktu,I-PROMOTION,O,Entity vs O Error
itu,I-PROMOTION,O,Entity vs O Error
.,I-PROMOTION,O,Entity vs O Error
Tapi,I-PROMOTION,O,Entity vs O Error
gak,I-PROMOTION,O,Entity vs O Error
datang²,I-PROMOTION,O,Entity vs O Error
makanan,I-PROMOTION,O,Entity vs O Error
sampe,I-PROMOTION,O,Entity vs O Error
40,I-PROMOTION,O,Entity vs O Error
menit,I-PROMOTION,O,Entity vs O Error
😭,I-PROMOTION,O,Entity vs O Error
😭,I-PROMOTION,O,Entity vs O Error
jadi,I-PROMOTION,O,Entity vs O Error
mikir,I-PROMOTION,O,Entity vs O Error
mau,I-PROMOTION,O,Entity vs O Error
ke,I-PROMOTION,O,Entity vs O Error
sini,I-PROMOTION,O,Entity vs O Error
lagi,I-PROMOTION,O,Entity vs O Error
Bakso,I-PRODUCT,B-PRODUCT,Boundary Error
",",I-PRODUCT,O,Entity vs O Error
tempat,B-PLACE,I-PLACE,Boundary Error
diruangan,B-PLACE,I-PLACE,Boundary Error
kesini,B-PLACE,I-PLACE,Boundary Error
...,O,I-PLACE,Entity vs O Error
penyajiannya,B-PROMOTION,I-PLACE,Label Error
lama,I-PROMOTION,O,Entity vs O Error
.,I-PROMOTION,O,Entity vs O Error
